Number,Descriptor-0,Descriptor-1,Descriptor-2,Descriptor-3,Descriptor-4,Descriptor-5,Descriptor-6,Descriptor-7,Descriptor-8,Descriptor-9,Descriptor-10,Descriptor-11,Descriptor-12,Descriptor-13,Descriptor-14,Descriptor-15,Descriptor-16,Descriptor-17,Descriptor-18,Descriptor-19,Descriptor-20,Descriptor-21,Descriptor-22,Descriptor-23,Descriptor-24,Descriptor-25,Descriptor-26,Descriptor-27,Descriptor-28,Descriptor-29,Descriptor-30,Descriptor-31,Descriptor-32,Descriptor-33,Descriptor-34,Descriptor-35,Descriptor-36,Descriptor-37,Descriptor-38,Descriptor-39,Descriptor-40,Descriptor-41,Descriptor-42,Descriptor-43,Descriptor-44,Descriptor-45,Descriptor-46,Descriptor-47,Descriptor-48,Descriptor-49,Descriptor-50,Descriptor-51,Descriptor-52,Descriptor-53,Descriptor-54,Descriptor-55,Descriptor-56,Descriptor-57,Descriptor-58,Descriptor-59,Descriptor-60,Descriptor-61,Descriptor-62,Descriptor-63,Descriptor-64,Descriptor-65,Descriptor-66,Descriptor-67,Descriptor-68,Descriptor-69,Descriptor-70,Descriptor-71,Descriptor-72,Descriptor-73,Descriptor-74,Descriptor-75,Descriptor-76,Descriptor-77,Descriptor-78,Descriptor-79,Descriptor-80,Descriptor-81,Descriptor-82,Descriptor-83,Descriptor-84,Descriptor-85,Descriptor-86,Descriptor-87,Descriptor-88,Descriptor-89,Descriptor-90,Descriptor-91,Descriptor-92,Descriptor-93,Descriptor-94,Descriptor-95,Descriptor-96,Descriptor-97,Descriptor-98,Descriptor-99,Descriptor-100,Descriptor-101,Descriptor-102,Descriptor-103,Descriptor-104,Descriptor-105,Descriptor-106,Descriptor-107,Descriptor-108,Descriptor-109,Descriptor-110,Descriptor-111,Descriptor-112,Descriptor-113,Descriptor-114,Descriptor-115,Descriptor-116,Descriptor-117,Descriptor-118,Descriptor-119,Descriptor-120,Descriptor-121,Descriptor-122,Descriptor-123,Descriptor-124,Descriptor-125,Descriptor-126,Descriptor-127
1385,34,4,0,0,105,16,0,1,166,33,0,0,2,0,0,4,74,7,0,3,5,12,3,6,1,1,1,2,3,14,4,2,40,4,0,3,166,10,0,1,166,15,0,1,5,0,0,28,107,2,0,0,1,14,8,23,0,0,0,0,3,28,9,3,38,4,0,2,166,12,0,2,166,39,0,0,7,1,0,21,126,8,0,0,6,12,4,19,1,0,0,0,12,14,3,2,28,0,0,7,139,8,1,15,166,1,0,0,5,1,1,109,75,0,0,1,18,12,3,40,0,1,1,5,21,6,0,0
1386,15,4,0,1,89,14,0,1,161,29,0,0,1,0,0,8,108,7,0,1,3,12,3,10,0,0,0,0,4,22,5,0,25,4,1,9,149,5,0,1,161,14,0,1,3,0,0,46,129,2,0,0,0,10,5,31,0,0,0,0,6,25,9,0,27,4,0,3,161,9,0,2,161,49,0,1,4,1,0,18,149,16,0,0,3,9,5,17,0,0,0,1,16,11,2,0,22,0,0,10,122,6,1,11,161,3,0,0,3,1,0,110,95,1,0,0,13,12,4,51,0,0,0,3,21,12,0,0
1387,60,171,0,0,0,0,0,0,132,171,0,0,0,0,0,0,18,20,0,0,3,4,0,0,0,0,1,1,1,4,2,0,81,53,0,0,0,0,0,6,171,133,0,0,0,0,0,12,102,23,0,2,5,0,0,1,0,0,1,5,4,0,0,0,108,3,0,0,0,0,0,36,171,3,0,0,0,0,0,78,112,6,1,5,1,0,0,7,0,0,1,6,1,0,0,0,133,3,0,0,0,0,0,19,171,6,0,0,0,0,0,47,60,2,0,2,2,0,0,8,0,0,0,1,1,0,0,0
1388,43,10,0,0,0,0,0,2,157,55,0,0,28,7,0,1,33,7,0,2,157,42,0,0,5,3,2,3,17,6,0,1,38,10,1,0,0,0,0,3,157,31,0,0,22,4,0,25,64,4,0,1,157,34,0,7,1,2,1,2,43,7,1,0,43,7,0,0,1,0,0,2,157,71,0,0,16,3,0,11,66,23,0,1,157,59,0,2,0,0,3,6,55,16,1,0,15,6,0,0,0,0,1,2,157,115,0,0,1,1,0,0,86,63,1,2,137,38,0,0,0,0,3,4,77,22,3,0
1389,82,4,0,0,0,0,0,8,163,23,0,0,0,0,0,10,163,62,0,0,0,0,0,0,40,9,0,0,0,0,0,1,82,27,0,0,0,0,0,2,163,56,0,0,0,0,0,2,163,22,0,0,0,0,0,17,57,6,0,0,0,0,1,9,59,18,0,0,0,0,0,1,163,32,0,0,0,0,0,14,163,3,0,0,0,0,0,55,31,3,4,4,0,0,1,11,51,3,0,0,0,0,0,6,163,1,0,0,0,0,0,65,163,1,1,2,0,0,0,79,11,3,6,8,1,0,0,3
1390,5,3,0,0,0,1,3,5,109,24,0,0,0,0,0,82,55,4,0,0,0,9,60,104,0,0,1,2,3,61,84,2,33,3,1,0,0,0,3,21,139,4,0,0,0,0,7,139,50,2,2,1,0,22,83,127,0,0,1,9,23,57,57,1,69,15,3,0,0,0,0,3,139,77,2,0,0,0,2,35,65,46,56,4,0,11,22,15,0,3,35,32,67,35,16,0,33,12,0,0,0,0,0,0,139,139,26,0,0,0,0,0,18,62,139,5,0,0,0,0,0,3,139,84,17,0,0,0
1391,27,70,21,0,0,0,0,0,138,40,3,0,0,0,11,48,20,0,0,0,0,3,94,54,0,0,0,22,23,25,70,15,70,8,0,0,0,0,2,8,138,31,0,0,0,0,5,70,54,11,7,6,1,2,81,69,0,0,7,13,43,71,53,7,32,22,5,1,0,0,1,3,138,138,2,0,0,0,0,10,52,138,56,29,0,1,6,8,0,1,72,109,21,3,1,0,1,6,4,2,0,0,0,0,45,138,4,0,0,0,0,0,20,138,116,33,0,0,0,0,2,3,98,106,1,0,2,3
1392,11,1,0,0,0,7,121,121,50,22,0,0,3,47,121,56,121,33,0,0,1,6,12,59,17,2,1,3,55,35,4,8,0,0,2,19,22,28,121,121,18,2,0,37,121,106,84,16,121,15,1,3,18,10,7,40,26,5,4,15,40,37,1,6,0,0,30,121,25,1,4,6,9,1,1,117,102,5,7,31,83,15,22,29,8,2,3,53,11,8,67,116,8,1,0,0,0,0,40,63,11,1,0,0,4,2,37,30,15,3,3,13,5,2,32,89,3,0,0,8,0,0,19,96,38,0,0,0
1393,45,2,0,0,0,0,3,70,9,0,1,8,8,2,22,77,40,7,3,8,4,1,15,49,15,0,0,0,0,0,24,104,16,0,0,0,6,8,27,123,16,3,2,42,80,21,12,32,123,18,5,20,11,1,0,82,42,7,12,46,1,0,6,86,32,36,1,1,14,12,8,49,12,8,3,14,123,61,3,2,113,115,106,28,34,8,0,7,17,34,123,123,1,0,0,3,38,93,2,2,5,0,1,2,5,11,4,18,123,35,0,0,0,14,83,62,99,71,0,0,0,3,87,119,40,16,0,0
1394,0,0,0,25,16,1,0,0,75,9,1,7,5,1,1,2,137,25,2,2,0,0,0,6,9,5,6,15,6,0,0,0,0,0,0,6,6,15,93,51,57,5,0,1,2,70,123,20,137,32,2,1,0,8,9,13,12,7,11,9,1,0,0,0,0,0,0,1,11,65,137,137,6,0,0,19,132,137,137,44,82,3,0,5,27,43,18,41,10,1,2,10,9,1,0,3,0,0,0,2,49,118,102,16,2,0,0,33,137,131,9,4,41,1,0,9,39,22,3,11,4,0,0,5,16,3,1,1
1395,0,0,0,0,1,8,13,2,0,0,5,6,1,7,10,3,1,1,20,15,0,0,8,7,22,4,15,11,0,0,3,35,0,0,10,52,7,12,4,0,12,7,63,120,3,2,0,1,71,15,51,25,0,0,42,93,41,1,5,5,0,0,92,135,0,0,71,135,2,1,0,0,54,26,48,107,0,0,1,2,135,135,27,3,0,0,17,79,105,135,24,0,0,0,45,122,0,0,16,26,1,2,12,1,11,10,2,6,0,1,21,6,47,135,30,0,0,1,4,3,135,135,22,0,0,0,0,0
1396,5,2,1,0,0,0,1,4,139,23,0,0,0,0,0,3,148,42,0,0,40,8,0,0,4,1,0,1,148,34,0,0,2,7,3,0,0,0,1,1,118,41,2,0,0,0,0,2,148,60,0,1,34,5,0,9,11,2,0,1,148,33,0,1,3,3,0,0,0,0,1,3,133,4,0,0,0,0,1,26,148,6,0,3,31,6,1,66,10,0,0,14,148,15,0,4,6,4,0,0,0,0,0,0,129,11,0,0,0,0,0,9,148,39,0,5,22,3,0,11,5,2,0,8,134,35,0,0
1397,1,7,84,5,0,0,9,13,2,1,80,16,0,1,43,52,11,20,26,5,0,5,55,72,20,25,4,1,2,6,18,72,28,3,0,0,0,0,9,35,131,2,0,0,2,20,57,131,36,3,1,0,26,119,81,78,35,12,12,8,10,12,14,56,47,28,0,0,0,0,0,1,131,54,0,0,4,12,3,24,84,14,5,7,126,131,6,11,7,17,84,33,44,33,17,14,44,18,0,0,0,0,0,12,131,18,0,0,0,1,0,105,82,4,0,1,42,103,15,28,0,1,6,4,22,84,130,45
1398,108,22,1,9,7,0,0,59,81,36,19,0,0,3,16,115,1,8,14,1,23,64,21,9,0,0,0,4,36,47,2,0,60,111,13,1,0,0,0,2,48,128,128,0,0,0,0,2,83,110,57,2,22,14,0,3,6,2,0,52,119,23,0,0,2,16,5,0,1,2,1,0,128,59,32,0,0,0,0,19,128,27,4,9,34,0,0,42,10,0,0,59,128,3,0,2,3,0,0,0,2,1,0,3,128,0,0,0,0,0,0,75,128,0,0,16,44,0,0,68,2,0,0,23,128,12,0,0
1399,1,42,67,0,0,1,0,1,7,54,70,1,0,0,3,16,5,41,17,0,0,2,8,8,0,10,6,0,0,5,4,0,19,5,6,0,1,9,3,23,83,14,6,0,0,5,52,144,12,12,4,0,0,108,139,52,4,13,7,0,0,25,107,23,42,4,0,0,3,7,3,27,144,35,0,0,0,2,11,128,72,6,0,0,0,64,144,91,0,0,0,0,0,15,144,42,18,0,0,0,2,1,6,144,55,1,0,0,0,0,14,144,20,0,0,0,0,0,19,132,0,1,0,0,0,0,31,15
1400,0,1,29,27,3,2,0,0,5,8,46,9,0,1,5,8,4,3,26,8,0,1,23,25,11,3,4,0,0,0,15,140,23,6,69,50,0,0,0,3,131,25,24,5,0,0,34,112,23,10,2,1,0,2,140,140,7,0,0,0,0,0,40,140,30,10,6,4,0,1,9,4,140,140,5,0,0,0,4,24,140,140,3,0,0,0,27,60,62,2,0,0,0,0,5,72,1,2,0,0,0,11,13,1,105,49,1,0,0,3,2,21,140,35,0,0,0,0,0,68,55,0,0,1,0,0,0,17
1401,0,0,0,1,2,1,1,0,16,1,0,0,3,1,1,27,33,4,4,0,0,3,82,133,1,0,4,2,1,75,133,16,0,0,1,3,1,0,23,3,85,3,0,1,0,0,28,51,133,30,0,0,0,1,28,112,24,5,1,16,26,69,58,14,0,0,1,0,0,0,133,35,13,1,7,2,0,0,133,133,84,9,19,20,1,0,75,133,15,3,8,91,19,1,0,7,0,9,75,18,0,0,73,10,0,0,133,63,0,0,50,17,0,9,133,61,0,0,11,8,1,15,79,39,2,0,0,0
1402,75,16,3,26,21,0,0,36,116,42,16,0,0,1,13,132,3,12,19,1,18,58,30,20,0,0,0,4,37,53,3,0,43,70,7,4,0,1,1,1,59,132,132,0,0,0,0,3,98,129,86,2,15,10,0,3,13,6,1,49,126,24,0,1,1,7,2,0,1,2,2,1,95,45,25,0,1,1,0,14,132,29,6,6,24,0,0,47,23,1,0,47,132,4,0,3,1,0,0,1,2,1,0,1,110,0,0,0,1,1,0,60,132,0,0,13,31,0,0,86,6,0,0,23,132,12,0,2
1403,94,25,0,0,0,0,0,1,163,4,0,0,0,0,0,25,138,1,0,1,0,1,1,13,1,0,1,6,11,10,1,0,120,3,0,0,0,0,2,43,163,2,0,0,0,0,0,39,161,4,0,0,0,1,0,11,1,0,0,0,7,14,1,1,34,0,0,0,0,2,94,99,163,22,0,0,0,0,11,80,139,43,0,0,0,0,0,3,6,2,0,0,7,3,1,4,1,0,0,0,0,68,163,19,80,9,0,0,0,19,78,66,99,33,0,0,0,0,2,15,9,13,4,1,5,0,0,0
1404,5,151,45,0,0,0,0,0,43,151,2,0,0,0,0,0,14,20,0,0,1,1,0,0,0,0,0,1,3,0,0,0,76,143,8,0,0,0,0,8,151,151,0,0,0,0,0,6,97,18,0,0,1,0,0,1,0,0,0,0,3,1,1,0,63,5,0,0,0,0,24,151,151,6,0,0,0,0,2,151,89,3,0,0,0,0,0,18,1,1,0,0,1,1,1,0,2,0,0,0,0,0,45,151,33,0,0,0,0,0,5,151,11,0,0,0,1,0,0,18,1,1,0,1,0,0,0,0
1405,1,4,9,6,1,0,0,0,71,1,4,11,1,0,0,31,134,1,0,0,0,0,42,134,4,0,0,0,0,3,134,57,1,0,0,1,3,2,8,8,134,4,0,0,2,1,28,60,134,65,5,0,0,0,10,77,22,32,37,1,0,3,40,17,41,14,1,0,0,0,14,60,52,32,26,0,0,0,109,134,94,54,64,0,0,0,42,108,10,43,89,6,1,0,0,3,29,53,7,0,0,0,4,11,26,99,116,0,0,0,12,30,9,59,134,0,0,0,8,19,3,47,103,7,0,0,0,2
1406,11,1,0,0,0,0,1,9,120,1,0,0,0,0,0,41,131,4,0,0,0,0,3,55,39,5,0,0,0,0,21,39,32,4,0,0,0,0,0,29,119,2,0,0,0,0,13,106,131,49,0,0,0,0,7,31,78,40,0,1,0,0,0,2,59,2,0,0,0,0,3,131,36,0,0,1,1,5,117,131,55,14,2,5,11,38,124,69,76,22,4,3,3,2,4,15,59,0,0,0,0,0,10,131,81,6,8,25,9,4,17,130,4,6,36,131,52,23,20,9,16,90,71,22,4,1,1,3
1407,42,130,22,0,0,0,0,5,12,98,69,0,0,0,0,1,0,41,83,1,1,2,0,0,0,22,21,7,4,21,7,0,3,130,37,0,0,0,0,0,18,130,122,0,0,0,0,1,62,81,85,0,0,2,8,52,9,31,28,55,37,18,12,20,9,49,4,0,0,0,0,0,130,119,9,0,0,0,0,4,130,81,4,1,3,6,12,85,16,15,4,13,95,99,23,23,1,14,13,0,0,0,0,0,59,100,8,0,0,0,0,0,130,130,3,1,1,0,0,0,24,77,12,9,13,18,7,0
1408,76,41,0,0,0,0,0,0,189,48,0,0,0,0,0,4,116,14,2,11,3,0,0,3,2,4,7,10,1,0,0,0,128,14,0,0,0,0,0,5,189,8,0,0,0,0,0,36,136,4,1,10,14,0,0,12,7,2,2,7,4,0,1,7,142,16,0,0,0,0,0,3,189,32,0,0,0,0,0,11,120,15,1,5,6,0,0,5,7,1,0,1,1,0,1,13,109,13,0,0,0,0,0,3,189,9,0,0,0,0,0,31,93,1,0,0,1,3,2,16,3,4,3,1,0,0,0,4
1409,3,7,1,0,1,1,1,0,35,68,28,3,0,0,1,14,34,15,37,39,5,10,84,88,1,0,0,7,6,73,129,13,0,0,0,0,0,3,5,2,102,7,0,0,0,1,6,46,129,31,1,3,3,7,36,117,19,6,1,22,45,85,64,13,0,0,0,0,0,1,80,78,19,1,1,5,0,0,115,129,88,8,29,83,1,0,21,129,10,8,72,122,18,1,0,2,9,21,14,0,0,0,67,95,5,7,44,63,2,0,45,80,0,0,30,129,13,0,5,13,0,23,80,67,3,0,0,0
1410,9,15,57,70,84,19,1,5,97,37,4,8,20,7,25,133,16,21,9,1,15,39,83,88,0,0,2,16,54,37,8,4,9,28,63,28,2,0,0,1,86,133,40,4,1,0,0,9,95,133,40,10,47,10,2,5,5,4,7,81,133,7,0,0,1,2,1,0,0,0,2,4,104,41,5,0,0,0,1,25,133,36,2,5,53,1,0,49,11,1,0,17,133,28,0,1,1,0,0,0,0,0,1,5,115,0,0,0,0,0,1,69,133,6,8,30,21,0,0,60,2,1,2,23,94,31,5,1
1411,1,0,1,1,4,4,3,5,60,0,0,0,14,7,2,22,196,0,0,0,3,1,1,83,58,0,0,1,86,12,0,13,1,2,4,4,3,2,1,1,119,1,0,2,5,4,3,12,196,17,0,1,3,0,0,37,57,4,0,12,110,6,0,6,2,1,0,0,0,1,3,4,104,7,0,0,1,4,6,9,196,61,0,0,2,1,0,5,69,9,0,3,93,26,0,2,4,1,0,0,0,0,1,3,40,14,0,1,1,2,1,1,196,107,0,0,0,1,0,1,92,19,0,0,55,28,1,2
1412,6,65,77,2,0,1,25,14,22,65,52,1,1,4,22,35,7,25,7,3,26,66,39,6,0,0,0,1,75,119,10,0,36,97,82,0,0,0,0,1,147,76,32,0,1,4,8,54,31,15,6,7,46,40,18,29,0,0,1,36,132,32,0,0,96,9,2,0,0,0,1,16,147,16,0,1,4,2,1,23,66,6,0,6,132,25,3,5,4,0,0,51,147,8,0,4,90,5,0,0,0,0,0,6,147,8,0,0,2,1,0,10,60,1,0,0,88,26,1,4,7,0,0,1,131,50,2,6
1413,74,75,0,0,45,26,0,0,70,43,0,0,79,44,0,0,137,60,1,1,1,1,2,3,4,1,0,1,0,1,10,7,143,89,0,0,28,10,0,0,76,16,0,0,140,51,0,1,143,35,0,0,7,4,3,11,17,0,1,1,2,3,13,9,143,20,0,1,15,3,0,22,72,2,0,3,137,36,1,12,143,3,0,0,14,6,1,43,20,0,3,8,19,2,1,6,143,1,0,3,13,0,0,70,64,2,0,23,92,3,0,8,143,1,0,3,11,1,0,28,10,0,0,9,28,0,0,2
1414,66,38,0,0,67,34,0,0,165,115,0,0,1,1,1,2,23,7,0,0,4,18,6,3,3,2,0,0,2,6,2,5,38,14,0,0,135,75,0,1,165,77,0,0,7,5,1,8,95,7,0,0,19,27,4,10,0,4,4,4,22,8,0,0,21,0,0,0,160,63,2,6,165,10,0,0,12,12,2,18,131,3,0,4,44,10,1,6,0,1,1,4,49,5,0,0,11,3,1,12,135,17,0,1,165,17,1,6,19,3,0,6,104,1,0,9,37,2,0,3,0,0,0,3,34,6,0,0
1415,75,52,1,1,33,17,0,0,179,150,0,0,0,0,1,2,34,11,0,0,4,17,7,5,1,1,0,0,6,15,1,1,57,13,0,0,87,43,1,2,179,55,0,0,1,1,1,15,114,5,0,0,13,26,4,16,0,0,1,3,35,18,0,0,39,1,0,0,108,53,6,12,179,18,0,0,1,3,3,21,143,7,0,1,23,13,1,7,0,0,0,3,65,10,0,0,19,2,0,4,89,28,2,3,179,6,0,2,4,2,1,20,117,1,0,12,29,1,0,10,0,0,0,11,44,3,0,0
1416,2,1,0,0,1,3,3,3,139,2,0,0,0,0,1,10,174,3,0,2,10,0,0,43,25,1,0,20,80,1,0,6,7,1,0,0,0,0,1,3,166,12,0,0,0,0,1,7,174,47,0,2,14,1,0,7,31,6,0,9,105,15,0,0,7,1,0,0,0,0,0,3,154,4,0,0,0,0,0,31,174,11,0,3,9,2,0,70,30,2,0,13,81,16,0,4,5,2,0,0,0,0,0,3,158,16,1,0,0,0,0,18,174,22,0,1,7,3,1,42,13,2,0,5,48,24,0,4
1417,105,2,0,0,0,3,16,33,205,43,0,0,0,0,0,12,86,23,4,0,0,0,0,0,0,3,4,6,18,0,0,0,92,6,0,0,1,15,17,16,205,41,0,0,0,0,0,7,139,11,6,4,2,0,0,1,0,4,11,13,17,0,0,0,78,1,1,7,11,8,3,13,205,3,0,0,0,0,0,42,128,5,2,4,5,0,0,4,0,0,3,15,18,0,0,0,81,1,1,4,3,1,0,15,205,1,0,0,0,0,0,41,77,6,2,1,1,0,0,4,1,1,0,10,31,1,0,0
1418,30,1,0,0,0,0,0,5,179,1,0,0,0,0,0,30,143,2,0,11,73,1,0,10,0,1,0,8,40,3,0,0,53,2,0,0,0,0,0,8,179,7,0,0,1,0,0,72,136,2,0,1,76,26,1,26,0,0,0,1,45,31,0,0,43,10,1,3,1,0,0,6,179,76,1,1,0,0,0,7,132,31,1,4,46,17,0,3,0,0,0,0,40,53,0,0,18,5,1,2,4,1,0,1,179,105,0,0,0,0,0,0,131,67,1,4,13,3,0,0,0,0,0,10,31,15,0,0
1419,18,27,5,0,0,0,0,0,93,6,1,0,1,2,2,8,199,11,1,0,0,0,0,8,51,7,5,3,5,1,0,1,37,63,5,0,0,0,0,0,122,41,7,0,0,0,0,0,199,17,1,0,0,0,0,11,56,7,7,3,2,1,0,4,47,70,1,0,0,0,0,0,146,51,2,0,0,0,0,0,199,48,0,0,0,0,0,5,53,13,1,2,3,1,3,3,62,28,0,0,0,0,0,2,117,32,0,0,0,0,0,2,199,70,0,0,0,0,0,1,68,10,1,0,1,0,1,5
1420,8,12,0,0,4,5,0,0,66,89,0,0,0,0,0,0,135,135,2,0,0,0,1,23,19,57,30,12,16,13,2,10,1,5,0,0,10,69,1,0,94,34,0,0,1,4,0,5,135,39,1,0,8,3,3,63,40,18,32,32,84,56,24,22,0,0,0,2,103,69,0,0,93,14,1,1,13,8,1,24,135,83,83,7,2,1,0,23,31,124,135,7,13,33,31,5,0,0,0,2,110,81,0,0,26,34,3,1,15,27,0,3,40,56,77,14,2,10,15,26,3,135,78,13,12,25,12,3
1421,0,0,6,11,2,9,34,2,0,0,19,10,3,7,23,7,1,0,11,64,92,4,1,5,0,0,20,118,100,19,7,3,0,0,25,70,2,0,0,0,7,9,92,75,3,0,0,1,22,15,44,22,62,42,22,25,0,0,0,6,67,118,116,19,0,0,68,111,3,0,0,0,45,51,61,116,5,0,0,3,118,104,16,3,1,18,32,62,5,11,18,11,13,95,85,14,0,1,118,62,0,0,0,0,14,87,82,33,0,0,0,0,40,118,82,1,0,0,0,0,1,61,118,16,5,3,0,0
1422,121,13,0,0,0,0,0,16,121,82,0,0,0,0,0,1,47,63,0,0,0,0,0,0,16,17,2,8,14,1,0,0,47,7,0,0,0,0,54,121,84,76,0,0,0,12,81,60,109,66,0,0,0,2,7,15,30,9,3,13,18,2,0,1,67,3,2,2,1,3,74,121,9,2,5,40,43,91,121,57,54,33,58,25,13,21,16,25,15,51,33,1,8,8,1,2,90,15,12,16,4,1,1,47,4,4,17,121,96,11,1,3,2,45,121,121,52,5,0,0,50,121,61,2,0,1,0,0
1423,113,11,0,0,0,0,0,11,128,14,2,2,1,1,1,3,180,27,0,0,0,0,0,1,21,4,0,3,22,4,0,1,131,11,1,0,0,0,0,16,131,29,5,1,0,0,0,3,180,32,0,0,0,0,1,12,37,1,0,0,18,16,4,10,95,41,0,0,0,0,0,4,139,31,1,0,0,0,0,7,180,8,0,0,0,0,0,17,43,3,1,2,20,6,1,4,25,69,0,0,0,0,0,0,135,60,0,0,0,0,0,1,180,14,0,0,0,0,0,4,30,5,3,7,7,2,0,0
1424,0,2,62,70,0,0,0,0,22,33,52,22,0,0,0,1,84,17,4,0,0,0,0,60,45,0,0,0,0,0,0,118,10,45,103,24,0,0,0,0,128,65,14,2,0,0,0,5,144,6,0,0,0,0,0,134,33,0,0,0,2,1,4,99,33,69,20,0,0,0,0,0,144,58,0,0,0,0,0,2,144,59,0,0,0,0,0,22,44,23,1,0,5,2,0,8,14,62,13,1,0,0,0,0,80,144,9,0,0,0,0,0,82,144,16,0,0,0,0,0,8,144,6,0,0,1,0,0
1425,4,0,0,1,23,67,1,4,143,0,0,0,2,3,0,106,91,0,1,6,11,2,1,96,2,1,5,22,10,1,0,1,14,0,0,0,113,90,1,7,145,11,0,0,9,9,1,85,90,6,0,3,42,9,2,38,1,0,0,3,35,4,1,1,9,4,0,38,145,19,5,3,145,99,1,4,18,3,12,27,76,67,7,14,29,0,1,5,3,0,0,8,27,0,0,1,1,0,0,20,34,22,145,50,39,14,0,1,3,71,145,121,33,18,2,4,6,72,45,20,4,1,0,5,7,6,1,1
1426,31,3,1,2,2,1,1,9,196,2,0,1,0,0,0,126,102,1,1,16,59,11,1,62,0,0,0,7,54,23,0,0,73,3,7,15,4,2,1,7,196,5,1,2,3,0,0,44,116,5,1,36,72,2,0,8,0,0,0,8,37,25,1,0,91,4,1,3,4,9,2,8,196,34,0,1,2,0,0,14,94,19,1,10,62,8,0,1,2,0,1,2,16,15,2,2,46,13,1,4,4,1,0,0,196,66,0,0,0,0,0,0,90,13,0,12,29,3,0,0,0,0,10,13,11,2,0,0
1427,62,4,0,0,0,2,7,25,163,4,0,0,0,5,17,41,183,33,0,0,0,0,0,14,23,8,3,1,2,0,0,1,89,0,0,0,0,3,9,65,150,11,0,0,2,14,21,26,183,39,0,0,0,0,0,6,39,7,8,5,3,0,0,0,101,10,2,3,2,2,2,37,131,3,1,9,11,9,3,21,183,4,0,1,1,0,0,34,35,3,2,6,7,0,0,1,61,9,2,1,1,0,0,19,128,4,2,3,2,1,0,18,183,2,0,0,0,0,0,29,20,3,1,2,9,1,1,3
1428,1,1,1,0,0,0,4,3,13,0,1,0,0,3,5,21,108,0,0,0,0,1,12,157,47,5,5,0,0,17,57,103,1,5,9,1,0,0,0,0,111,12,6,0,0,0,0,18,157,31,4,0,0,1,16,157,31,19,30,3,2,42,71,39,0,1,2,1,1,0,0,0,138,13,1,0,0,0,0,2,157,104,26,0,0,0,0,1,26,39,116,6,0,0,0,0,1,2,1,0,0,0,0,1,46,22,1,1,0,0,0,2,94,145,73,1,0,1,2,8,2,36,157,4,1,1,3,3
1429,66,18,0,0,0,0,0,0,170,35,0,0,0,0,0,0,90,11,1,1,5,0,0,1,1,0,0,3,110,5,0,0,75,14,0,0,0,0,0,0,170,24,0,0,0,0,0,3,132,4,1,2,6,0,0,4,1,0,0,9,131,3,0,0,71,6,0,0,0,0,0,7,170,5,0,0,0,0,0,51,109,0,0,1,6,1,0,15,0,0,0,6,138,3,0,0,69,0,0,0,0,0,0,53,170,0,0,0,0,0,0,137,42,0,0,2,7,0,0,17,1,0,0,17,107,1,0,0
1430,48,0,0,0,0,0,0,17,154,0,0,1,10,1,0,69,37,0,0,11,141,2,0,12,0,0,0,9,55,3,0,0,86,4,0,0,0,0,0,7,154,13,0,2,19,1,0,12,41,1,0,35,154,3,0,2,0,0,1,52,53,0,0,0,81,3,0,0,0,0,0,31,154,6,1,8,29,1,0,78,27,2,0,64,154,8,0,4,0,0,1,34,37,16,1,0,106,0,0,0,0,0,0,57,154,0,0,8,44,1,0,96,3,0,0,20,147,13,0,3,0,0,0,4,21,30,1,0
1431,57,78,0,0,0,0,0,0,63,125,6,0,0,0,0,9,15,78,15,2,6,3,1,6,0,10,17,3,24,58,8,0,87,28,0,0,0,0,0,8,125,33,0,0,3,3,10,120,26,19,29,41,76,21,20,43,1,75,118,38,20,13,4,0,113,14,0,0,0,0,0,17,125,46,3,2,5,1,1,28,30,20,15,15,95,81,19,6,6,30,17,12,25,103,125,8,78,12,3,0,0,0,0,32,121,41,81,14,0,0,0,20,16,82,125,16,1,8,7,2,35,102,15,5,12,32,62,14
1432,4,0,0,1,1,3,1,4,106,10,0,0,0,0,0,9,162,11,0,3,29,0,0,11,14,1,1,27,133,1,0,1,3,1,1,1,1,1,1,2,115,15,0,1,0,0,0,3,162,43,0,4,34,7,0,7,16,3,0,12,162,35,0,2,4,1,0,0,0,0,1,4,105,2,0,0,0,0,1,26,162,5,0,1,23,8,1,40,24,0,0,12,162,31,1,5,3,4,1,0,0,0,0,2,103,7,0,0,0,0,0,10,162,3,0,1,26,0,0,15,19,0,0,11,162,2,0,1
1433,1,149,119,0,0,0,0,0,21,149,14,0,0,0,1,1,5,7,0,0,0,2,3,2,0,0,0,0,0,1,2,0,50,149,26,1,2,7,2,7,149,149,3,0,0,0,0,12,69,20,0,0,1,4,1,1,0,0,0,0,1,3,2,0,54,3,0,0,1,33,50,94,149,8,0,0,0,0,2,149,88,2,0,0,1,2,0,15,0,0,0,0,1,2,5,1,45,0,0,0,1,12,27,114,135,0,0,0,0,0,1,149,25,0,0,2,0,0,0,15,0,0,11,44,1,0,2,3
1434,2,121,86,12,5,14,2,0,0,25,29,84,121,42,12,1,1,2,4,10,44,10,33,23,28,7,1,0,0,0,14,80,33,85,28,4,0,0,1,5,96,25,27,31,14,16,97,91,5,1,0,3,15,74,121,50,0,0,1,24,17,6,53,80,50,3,0,0,0,0,15,74,121,18,7,21,3,4,15,119,24,6,33,96,46,36,28,8,0,0,15,46,52,12,6,1,7,3,5,6,0,0,43,121,16,1,12,121,17,0,10,92,2,7,99,121,9,0,0,1,0,6,81,44,3,0,0,0
